oid,OBJEKT Inventarnummer,OBJEKT Sammlung,klassifikation,webtext,datierung,herstellung,herkunft,OBJEKT -> Inhalt,OBJEKT -> Masse,OBJEKT -> Material und Technik
98357,AG-11233,Technologie und Brauchtum,Feuerwehreimer,Bez. 'AM 1683'. Inhalt: Familienwappen Familie Meyer. Datiert 1683. 37 cm. ,1683,,,Familienwappen Familie Meyer. ,Höhe 37 cm.,
193292,COP-4216.a,Technologie und Brauchtum,Schlossmodell,"Modell. Relief der Habsburg im Masstab 1:100. Herstellung: Hersteller Fridolin Becker (1854 - 1922), Zürich. Vor 1922. 70 x 135 x 110 cm. Holz (Trägermaterial). ",1922,"Hersteller Fridolin Becker (1854 - 1922), Zürich. ",,,"Höhe 70 cm, Breite 135 cm, Tiefe 110 cm.",Holz (Trägermaterial).
130767,DEP-7.FSG,Technologie und Brauchtum,Radioapparat,"Marque Autophon, type CHAMPION, mis en service en 1942 (selon timbre PTT). Datiert 1940. Herkunft: Audiorama Musée Suisse de l`audiovisuel, Montreux. 30 x 50 x 25 cm. ",1940,,  ,,"Gehäuse: Höhe 30 cm, Breite 50 cm, Tiefe 25 cm.",
104231,DEP-846,Wissensch. Instrumente,Erd- und Himmelsglobus,"Gr. Erd- u. Himmelsglobus, drehbar, Holzgestell. Erdkarte nach Gerhard Mercator. Inhalt: Klosterwappen St. Gallen. Herstellung: Norddeutschland. Um 1570. Herkunft: St. Gallen (SG), Stiftsbibliothek; Zürich (ZH), Stadtbibliothek. 233 x 174 cm. Ø 121 cm (mit Gestell). Papiermaché, Öl. Gestell: Holz, Öl. 
Depositum: Stadtbibliothek Zürich, 8000, Zürich. 

Literatur:
J. SCHMID, A previously unknown likeness of the St Gallen Globe: New speculations about its origin. In: Journal of the International Map Collectors' Society 144 (2016), S. 12-21.
F. GRENACHER, Der sog. St. Galler Globus im Schweiz. Landesmuseum, Vermutungen über seine Herkunft und Feststellungen zu seiner Konstruktion, in: ZAK 21, 1961, S. 66-78, Tf. 33-40. 
A. FAUSER, Die Welt in Händen, Kurze Kulturgeschichte des Globus, Stuttgart 1967, S. 96-99, S. 97, Abb. 
H.-P. HÖHENER, Der St. Galler Globus, Ein Beutestück aus dem Zweiten Villmergerkrieg 1712, in: A. CATTANI/B. WEBER Hrsg., Zentralbibliothek Zürich, Schatzkammer der Überlieferung, Zürich 1989, S. 59-61, S. 58, Abb., S. 167-168. 
Edward L. Stevenson, Terrestrial and Celestial Globes, 2 Bände, LKS 91 BBA 300 : 1, New Haven 1921, S. 198, Fig. 80
Schweizerisches Landesmuseum in Zürich, Siebzigster Jahresbericht 1961, Zürich 1962, S. 18. 

Cf. Dokumentation zur St. Galler Globus Replik unter: 
www.staatsarchiv.zh.ch/download/Globus_Doku_1_0.pdf. ",1570,Norddeutschland. ,"   (seit 1595)   (im 2. Villmergerkrieg 1712 Beutestück der Zürcher, seit 1718 in der Kunstkammer)",Klosterwappen St. Gallen. ,"Höhe 233 cm, Breite 174 cm, Durchmesser 121 cm (mit Gestell).
Länge 380 cm (Umfang).","Papiermaché, Öl. Gestell: Holz, Öl."
314287,DEP-847.1-2,Wissensch. Instrumente,Erdglobus,"Erdglobus mit hölzernem Gestell von. P. Coronelli in Venedig. Dazu Kartenmaterial (26 Teile) zum Globus. Herstellung: P. Coronelli, Venedig. 1688. 101 x 132,5 cm. Ø 121 cm (Gestell). Gestell: Holz. 
Depositum: Stadtbibliothek Zürich, 8000, Zürich. ",1688,"P. Coronelli, Venedig. ",,,"Gestell: Höhe 101 cm, Breite 132.5 cm, Durchmesser 121 cm.",Gestell: Holz.
99149,IN-134,Technologie und Brauchtum,Spanischsuppenschüssel,"zylindrisch, auf drei Füssen, Wandung mit Darstellungen zur 'Verkehrten Welt' Wappenkartusche 'I D' und '1647', Volutenhenkel. Inhalt: Verkehrte Welt. Herstellung: Zürich. Datiert 1647. Bronze, gegossen. ",1647,Zürich. ,,Verkehrte Welt. ,,"Bronze, gegossen."
119166,IN-143,Technologie und Brauchtum,Reisetruhe,"Mit gewölbtem Deckel, reiche Verzierung mit Eisenbeschlägen (Bänder, Rosetten). Um 1650 - 1700. Herkunft: Solothurn (Kanton). 78 x 139 x 50 cm. Tannenholz, gefasst (Fassmalerei). Eisen, getrieben, ziseliert. ",1650 - 1700  ,,  ,,"Höhe 78 cm, Breite 139 cm, Tiefe 50 cm.","Tannenholz, gefasst (Fassmalerei). Eisen, getrieben, ziseliert."
186090,LM-365.38,Technologie und Brauchtum,Spulrad (Spinnerei),"Dazu Spindel mit Wirtel und Spule. 1700 - 1800. 54,7 x 23,5 x 33,5 cm. Nussbaumholz. ",1700 - 1800  ,,,,"Höhe 54.7 cm, Breite 23.5 cm, Tiefe 33.5 cm.",Nussbaumholz.
90811,LM-899.c,Technologie und Brauchtum,Schüssel,"Mit breitem Rand und Vertiefung. 1600 - 1700. Herkunft: Wallis. 3,5 x 12,5 cm. Gesamt: Holz, massiv, gedreht. 

Literatur:
19930616. ",1600 - 1700  ,,  ,,"Höhe 3.5 cm, Breite 12.5 cm, Durchmesser 12.7 cm.","Gesamt: Holz, massiv, gedreht."
100023,LM-1200.1-3,Technologie und Brauchtum,Fahrzeugmodelle,"Fuhrhaltereimodell. LM-1200.1-3. Bestehend aus Stall, Remise, Heudiele, div. Geräten sowie bespannten Brücken- und Leiterwagen. Inhalt:  Fuhrhalter(ei) . Herstellung: Gebrüder Keller, Zürich. 1800 - 1810. 

Literatur:
KURZ Manfred, Das traditionelle Arbeits- und Festtagsgespann, Starke Pferde-Verlag, Lemgo, 2010. ",1800 - 1810  ,"Gebrüder Keller, Zürich. ",,Fuhrhalter(ei). ,,
323313,LM-1261,Technologie und Brauchtum,Spanischsuppenschüssel,"Zylindrisch, auf drei Klauenfüssen. Darstellung eines Bauerntanzes. Deckel glatt. 1590 - 1600. Herkunft: Zürich. 17,5 cm. Ø 18 cm. Bronze, gegossen. ",1590 - 1600  ,,  ,,"Höhe 17.5 cm, Durchmesser 18 cm.
Schüssel: Höhe 10 cm, Durchmesser 18 cm.","Bronze, gegossen."
323426,LM-1324,Technologie und Brauchtum,Spanischsuppenschüssel,"Zylindrische Kasserole ohne Fuss. Wandung mit Bauerntanz. 4 Jahreszeiten auf bombiertem Deckel. Inhalt: Bauerntanz. Jahreszeiten. Herstellung: Füssli Giesserei, Zürich. 1590 - 1600. Herkunft: Eugen Felix. 21,5 cm. Ø 22,7 cm (Gesamtobjekt). Bronze, gegossen. 

Literatur:
Versteigerungskatalog Sammlung Eugen Felix, Köln 25. 10. 1886 Nr. 555.  K. Frei-Kundert, die grosse Glocke von Knonau in Jb. SLM 1923, p. 94. ",1590 - 1600  ,"Füssli Giesserei, Zürich. ",  ,Bauerntanz. Jahreszeiten. ,"Gesamtobjekt: Höhe 21.5 cm, Durchmesser 22.7 cm.
ohne Deckel: Höhe 12 cm.","Bronze, gegossen."
101022,LM-1340,Technologie und Brauchtum,Daumenschraube,"Folterinstrument zum EInklemmen von 2 Fingern. Rechteckiger Rahmen trägt unten zwei Halbrundöffnungen, mit Schraubengriff und Gleitschiene. 1700 - 1800. Herkunft: Oberägeri. 11,3 x 8,8 cm. 1: Eisen. ",1700 - 1800,,  ,,"Höhe 11.3 cm, Breite 8.8 cm.",1: Eisen.
90953,LM-1344.b,Technologie und Brauchtum,Nackenjoch/Schultertrage,"Mit Eisen beschlagen. Inhalt: Ackerbau. 1700 - 1800. Herkunft: Freiamt (Region). 122,5 cm. 

Literatur:
19930618. ",1700 - 1800  ,,  ,Ackerbau. ,Höhe 122.5 cm.,
90872,LM-1543.b,Technologie und Brauchtum,Wirtshausschild,Mit der Jahreszahl 1659 und den Initialen IG. Inhalt: Wilder Mann. Herstellung: La Punt-Chamues-ch. Datiert 1659. 100 x 150 cm. geschnitzt. ,1659,La Punt-Chamues-ch. ,,Wilder Mann. ,"Höhe 100 cm, Breite 150 cm.",geschnitzt.
90877,LM-1665,Technologie und Brauchtum,Gleichgewichtswaage,"Verziert. 1600 - 1700. Herkunft: Rapperswil. 95,5 x 77 cm. Schmiedeeisen, geschnitten. ",1600 - 1700  ,,   (Objekt),,"Höhe 95.5 cm, Breite 77 cm.","Schmiedeeisen, geschnitten."
93314,LM-2012,Technologie und Brauchtum,Bandwebstuhl (Weberei),"Webegitter. Mit Kurbel und Rätsche. Inhalt: Textilproduktion. 1700 - 1800. Herkunft: Luzern (LU), Frauenkloster St.Anna (im Bruch). 69,5 x 32,5 x 22,5 cm. 

Literatur:
19930618. ",1700 - 1800  ,,  ,Textilproduktion. ,"Höhe 69.5 cm, Breite 32.5 cm, Tiefe 22.5 cm.",
325179,LM-2146.b,Technologie und Brauchtum,Glocke (Bauausstattung),"Reliefverzierungen, Inschrift: 'ECCE CRUCEM DOMMINI FUGIDE PARTES ADVERSAE '. Herstellung: Giesser Jost Keiser. Datiert nach Inschrift 1759. Herkunft: Dornach. 34 x 27 cm. Ø 21,5 cm (Glocke mit Joch und Klöppel). Glocke: Bronze, gegossen. Klöppel: Eisen, geschmiedet. Joch (Helm, Stock): Holz. 

Literatur:
Kunstdenkmäler der Schweiz. ",1759,Giesser Jost Keiser. ,  ,,"Glocke mit Joch und Klöppel: Höhe 34 cm, Breite 27 cm, Durchmesser 21.5 cm.
Glocke mit Klöppel: Höhe 25 cm, Durchmesser 21.5 cm (Klöppel 7cm Überstan).","Glocke: Bronze, gegossen. Klöppel: Eisen, geschmiedet. Joch (Helm, Stock): Holz."
126213,LM-2170,Technologie und Brauchtum,Hackmesser (Metzgerei),Schweres Messer. Der Griff in Form eines Hundekopfes. 1700 - 1800. 31 cm. Griff: Messing. ,1700 - 1800  ,,,,Griff: Höhe 31 cm.,Griff: Messing.
91035,LM-2197,Technologie und Brauchtum,Handfeuerwehrspritze,"Mit Stiefel und Handrohr; Punzenstange mit langem Griffholz für zwei Personen. 1700 - 1800. 93 cm. Buchenholz, gedrechselt. ",1700 - 1800  ,,,,Höhe 93 cm.,"Buchenholz, gedrechselt."
91060,LM-2525.1-10,Technologie und Brauchtum,Löffel (Besteck),"Diverse Löffel; teilweise mit breitem Blatt und kurzem Stiel mit Haken. Keine Datumsangabe. Herkunft: Val d`Anniviers. Holz, geschnitzt. ", ,,  ,,,"Holz, geschnitzt."
-721357,LM-2525.1,Technologie und Brauchtum,Löffel (Besteck),"Löffel (Besteck). Mit breitem Blatt und kurzem Stiel mit Haken. 3 x 20,5 x 11 cm. Holz, geschnitzt. 
Ist Teil von:
Löffel (Besteck). Diverse Löffel; teilweise mit breitem Blatt und kurzem Stiel mit Haken. Keine Datumsangabe. 15,5 cm. ",,,  ,,"Höhe 3 cm, Länge 20.5 cm, Breite 11 cm","Holz, geschnitzt."
-721356,LM-2525.2,Technologie und Brauchtum,Löffel (Besteck),"Löffel (Besteck). Mit gegabeltem Griff. 4,8 x 14,5 x 8,1 cm. Holz, geschnitzt. 
Ist Teil von:
Löffel (Besteck). Diverse Löffel; teilweise mit breitem Blatt und kurzem Stiel mit Haken. Keine Datumsangabe. 15,5 cm. ",,,  ,,"Höhe 4.8 cm, Länge 14.5 cm, Breite 8.1 cm","Holz, geschnitzt."
-721361,LM-2525.3,Technologie und Brauchtum,Löffel (Besteck),"Löffel (Besteck). Herkunft: Val d`Anniviers. 17 x 6,8 cm. Holz, geschnitzt. 
Ist Teil von:
Löffel (Besteck). Diverse Löffel; teilweise mit breitem Blatt und kurzem Stiel mit Haken. Keine Datumsangabe. Herkunft: Val d`Anniviers. Holz, geschnitzt. ",,,  ,,"Länge 17 cm, Breite 6.8 cm","Holz, geschnitzt."
193622,LM-2653.71,Technologie und Brauchtum,Grabkreuz,"Des Joseph Blasius Moos. Flacher Stab und Arme. Tafel mit hl. Bischof. 1837. 143 x 59 cm. Eisen, bemalt, vergoldet. ",1837,,,,"Höhe 143 cm, Breite 59 cm.","Eisen, bemalt, vergoldet."
193581,LM-2659,Technologie und Brauchtum,Ofenplatte (Metall),Mit reliefiertem Wappen von Franz Peter und Albrecht König von Mohr und Inschrift. 1640 - 1647. 99 x 82 cm. Gusseisen. ,1640 - 1647  ,,,,"Höhe 99 cm, Breite 82 cm.",Gusseisen.
103378,LM-2733.104,Technologie und Brauchtum,Büchse (Apotheke),"Rot bemalt und mit der Aufschrift: LIGN LENTISC. Inhalt: Medizin und Heilkunde. 1790 - 1800. Herkunft: Chur. 20,7 cm. ",1790 - 1800  ,,  ,Medizin und Heilkunde. ,Höhe 20.7 cm.,
327980,LM-2927.4,Technologie und Brauchtum,Kochtopf,"Mit zwei rechtwinklig geknickten Henkeln, auf 3 Füssen. Keine Datumsangabe. Herkunft: Graubünden. 22 cm. Ø 20 cm. Topf: Bronze. ", ,,  ,,"Topf: Höhe 22 cm, Durchmesser 20 cm.",Topf: Bronze.
102007,LM-3172.10,Technologie und Brauchtum,Gussform (Metallgiess.),"Für Breitrandplatte, aussen geschrotet, innen gedreht. Inhalt: Metallgiesserei. Herstellung: Zug. 1600 - 1700. Herkunft: Keiser, Zug. Ø 43 cm 28960 g. Sandstein. ",1600 - 1700  ,Zug. ,Besitzer ,Metallgiesserei. ,"Durchmesser 43 cm, Gewicht 28960 g.",Sandstein.
102011,LM-3172.23,Technologie und Brauchtum,Gussform (Metallgiess.),"Aus getrocknetem Lehm mit gedrehtem Sandsteinkern für Glockenkanne. Inhalt: Metallgiesserei. Herstellung: Zug. 1600 - 1700. Herkunft: Keiser, Zug. 29 cm. 10550 g. Ton ungebrannt (Lehm). ",1600 - 1700  ,Zug. ,Besitzer ,Metallgiesserei. ,"Höhe 29 cm, Gewicht 10550 g.",Ton ungebrannt (Lehm).
101077,LM-3405.177,Technologie und Brauchtum,Handschelle,"Oval, mit Öffnungsscharnier, Flanschen, Mittelsteg und Verschluss. Keine Datumsangabe. 14,2 x 10,5 x 3 cm. Ø 8,5 cm 267,3 g. Eisen, geschmiedet. ", ,,,,"Höhe 14.2 cm, Breite 10.5 cm, Tiefe 3 cm, Durchmesser 8.5 cm, Gewicht 267.3 g.","Eisen, geschmiedet."
99350,LM-3405.287,Technologie und Brauchtum,Bodenleuchte,"Hoher Leuchter auf mit Tierköpfen verziertem Dreifuss, 2 Tierköpfe fehlen, mit vergoldetem und gepunztem Kupferblech bekleidet. 1200 - 1300. Herkunft: Schattdorf (UR), Pfarrkirche. 123 x 31 cm. Kupferblech, vergoldet. 

Literatur:
Ausstellungskatalog 'Himmel, Hölle, Fegefeuer - Das Jenseits im Mittelalter', Zürich/Köln 1994, S. 217 Nr. 40. ",1200 - 1300,,  ,,"Höhe 123 cm, Breite 31 cm.","Kupferblech, vergoldet."
91152,LM-3600,Wissensch. Instrumente,Pendelrichtquadrant,"Mit Bussole und gravierten Winkelflächen, Enden der Senkel als Eidechsen; Etui. Inhalt: Belagerungsszene. Um 1650. 19,9 x 23,3 cm. Messing, vergoldet. ",1650,,,Belagerungsszene. ,"Höhe 19.9 cm, Breite 23.3 cm.","Messing, vergoldet."
309274,LM-3904,Technologie und Brauchtum,Gebärstuhl,"Verstellbare Rücklehne mit lederbezug; ausgeschnittener Sitz, Plüschpolster. 1700 - 1800. 119 x 58 x 57 cm. Gestell: Nussbaumholz, massiv. Beschläge: Eisen. Sitz: Samt auf Gewebe/Textilien. Rückenlehne: Leder. ",1700 - 1800  ,,,,"Höhe 119 cm, Breite 58 cm, Tiefe 57 cm.","Gestell: Nussbaumholz, massiv. Beschläge: Eisen. Sitz: Samt auf Gewebe/Textilien. Rückenlehne: Leder."
114969,LM-4424,Wissensch. Instrumente,Perpetuum mobile,"Maquette; fahrbar auf 3 Rädchen, R.D. Laurentium Kypfer gewidmet. Herstellung: Erfinder J. Wyss. 1845. 19,5 x 23,2 x 14 cm. ",1845,Erfinder J. Wyss. ,,,"Höhe 19.5 cm, Breite 23.2 cm, Tiefe 14 cm.",
328639,LM-4669.1-2,Technologie und Brauchtum,Feuerspritze,"Feuerspritze. Feuerspritze 'GemeindeSchönenwerd' , Wasserbehälter aus Holz, Messingrohr. Datiert nach Inschrift 1761. ",1761,,,,,
126841,LM-5515,Technologie und Brauchtum,Bartaxt (Dachdeckerei),"Klinge vorhanden. Durchlocht. Auch als Waffe zu gebrauchen. Inhalt: Dachdeckerei. 1500 - 1600. Herkunft: Wattwil. 21 x 17,5 cm. ",1500 - 1600  ,,  ,Dachdeckerei. ,"Höhe 21 cm, Breite 17.5 cm.",
91185,LM-5708,Technologie und Brauchtum,Wassertanse,"Kopfplatte mit Blattornament und Initialen SC - CB sowie Datum. Datiert 1776. 91,8 x 44 x 40 cm. Kupfer, getrieben, verzinnt. 

Literatur:
19930618. ",1776,,,,"Höhe 91.8 cm, Breite 44 cm, Tiefe 40 cm.","Kupfer, getrieben, verzinnt."
97943,LM-6226,Technologie und Brauchtum,Melchter,"'Fauster' mit rot-schwarzer Kerbschnittgravur: Blumen, Bären und Alphornbläser. Inhalt: Milchwirtschaft. Herstellung: Bern (Kanton). Datiert 1749. 45 x 38 cm. ",1749,Bern (Kanton). ,,Milchwirtschaft. ,"Höhe 45 cm, Breite 38 cm.",
90071,LM-6456,Technologie und Brauchtum,Gewürzmörser,Mit Deckel und eisernem Pistill. Bezeichnet mit '1734J'. Datiert 1734. Herkunft: Schanfigg (Region). ,1734,,  ,,,
98992,LM-6633,Technologie und Brauchtum,Halsgeige,"Sogenannte Schandgeige oder Fidel, mit Metallschlösschen versehen. Herstellung: Bern (Kanton). 1700 - 1800. 112 x 22,5 cm. Buchenholz. ",1700 - 1800  ,Bern (Kanton). ,,,"Höhe 112 cm, Breite 22.5 cm.",Buchenholz.
90077,LM-6733,Technologie und Brauchtum,Friesschaufel zum Gräbenziehen,"Mit eiserner Spitze und Beschlägen und mit T-förmigem Griff. Inhalt: Landwirtschaft und Viehzucht. 1700 - 1800. 104 cm. Eichenholz. 

Literatur:
19930618. ",1700 - 1800  ,,,Landwirtschaft und Viehzucht. ,Höhe 104 cm.,Eichenholz.
126150,LM-6814,Technologie und Brauchtum,Metzgergürtel,"Bezeichnet mit Ochsenkopf, Beile, Hackmesser und `HCF 1784`. Datiert 1784. Leder. Beschläge: Messing. ",1784,,,,,Leder. Beschläge: Messing.
340182,LM-6821.b,Technologie und Brauchtum,Schnupftabakdose,"Birkenrinde, länglich ovaler Querschnitt, abhebbarer Deckel mit Lederschlaufe. 1800 - 1900. ",1800 - 1900  ,,,,,
329888,LM-6945,Technologie und Brauchtum,Kaffeemühle,"Kaffee- und Gewürzmühle mit etwas geschnitztem Brett. Kurbel mit Jahrzahl. Datiert nach Inschrift 1756. 31 x 58 x 24,5 cm. ",1756,,,,"Höhe 31 cm, Länge 58 cm, Breite 24.5 cm.",
126149,LM-7082,Technologie und Brauchtum,Geflügelkäfig (Küche),"Mit Klappdeckel, vier Kugelfüssen und gedrechselten Eckzierden. 1700 - 1800. 43,5 x 55 x 34 cm. Korpus: Nussbaumholz, massiv, lackiert. Boden: Fichtenholz, massiv. Beschläge: Eisen. ",1700 - 1800  ,,,,"Höhe 43.5 cm, Breite 55 cm, Tiefe 34 cm.","Korpus: Nussbaumholz, massiv, lackiert. Boden: Fichtenholz, massiv. Beschläge: Eisen."
193424,LM-7244.1-86,Technologie und Brauchtum,Chorgitter,Gotisches Chorgitter aus der St.Theodulskirche in Sitten. 1490 - 1500. Eisen. ,1490 - 1500  ,,,,,Eisen.
90681,LM-7295,Technologie und Brauchtum,Gewürzdose,"Mit Deckel auf 3 Füsschen stehend; im Innern 6 Vertiefungen; mit Kerbenschnitt. 1600 - 1700. 9 cm. Ø 16 cm. Nussbaumholz, gedrechselt. ",1600 - 1700  ,,,,"Höhe 9 cm, Durchmesser 16 cm.","Nussbaumholz, gedrechselt."
90727,LM-7460.1-2,Wissensch. Instrumente,Mikroskop,In Holztubus mit Objektiven in Holzfassung; das Ganze in Kartonschachtel. 1775 - 1800. Herkunft: Zürich. 27 cm (Mikroskop). Messing. ,1775 - 1800 (4. Viertel),,  ,,Mikroskop: Höhe 27 cm.,Messing.
90629,LM-7705,Technologie und Brauchtum,Pferdekummet,"Zwei gepresste Doppeladler auf dem Besatz. Inhalt: Ackerbau. 1790 - 1800. 86 cm. 

Literatur:
19930618. ",1790 - 1800  ,,,Ackerbau. ,Höhe 86 cm.,
191613,LM-7711,Technologie und Brauchtum,Feuerspritze,"Zweizylindrige Druckpumpe mit Windkessel und Wendrohr, bezeichnet. Datiert 1795. Holz, geschnitzt, bemalt. ",1795,,,,,"Holz, geschnitzt, bemalt."
98995,LM-7897,Technologie und Brauchtum,Flüssigkeitsmass,"Brandstempel: VR (Appenzell Ausserrhoden) 1781/1784/1787, für ca. 1 Schoppen. Herstellung: Appenzell-Ausserrhoden. 1781 - 1787. Herkunft: Appenzell-Ausserrhoden. 9,5 cm. Ø 10,3 cm. ",1781 - 1787,Appenzell-Ausserrhoden. ,  ,,"Höhe 9.5 cm, Durchmesser 10.3 cm.",
131211,LM-7987,Technologie und Brauchtum,Zange für Zahnarzt,Mit Feder. Inhalt: Medizin und Heilkunde. 1600 - 1700. 11 cm. ,1600 - 1700  ,,,Medizin und Heilkunde. ,Höhe 11 cm.,
126787,LM-8000,Technologie und Brauchtum,Kelle (Maurer),"Spachtelartiger mit schlanker zungenförmiger Klinge und Angel. Inhalt: Maurerei. 1500 - 1600. Herkunft: Twann (BE), Wingreis bei Twann, Bielersee; Wingreis. 17 x 3 cm. Eisen. ",1500 - 1600  ,,    ,Maurerei. ,"Höhe 17 cm, Breite 3 cm.",Eisen.
97922,LM-8006,Technologie und Brauchtum,Bohrer (Zimmerei),Mit profiliert geschnittenem Hammer und tordiertem Schaft. Keine Datumsangabe. 17 x 10 cm. Eisen. , ,,,,"Höhe 17 cm, Breite 10 cm.",Eisen.
6973,LM-8099,Technologie und Brauchtum,Wirtshausschild,"Zwei Sanktgaller Artilleristen stehen neben ihrem Geschütz vor einem Zelt. Inhalt: Artillerie. Herstellung: Anonym. Um 1830. Herkunft: Metzger (Sammlung) Conrad, Weinfelden. 76 x 61 cm. Holz, Öl. 

Literatur:
Jahresbericht SLM 1905, S. 71. - H. SCHNEIDER, Vom Brustharnisch zum Waffenrock, Frauenfeld/Stuttgart, 1968, Tf. 29 nach S. 56, S. 73. ",1830,Anonym. ,Sammler ,Artillerie. ,"Höhe 76 cm, Breite 61 cm.","Holz, Öl."
